iter	RMSE
0	1.663241276
1	1.610370925
2	1.561826469
3	1.514286729
4	1.469452948
5	1.427935129
6	1.385332732
7	1.346254691
8	1.308573327
9	1.271663248
10	1.237288199
11	1.204638412
12	1.178905455
13	1.150697935
14	1.124747904
15	1.103060328
16	1.079460323
17	1.056365046
18	1.03520563
19	1.01519796
20	0.9969663855
21	0.977514924
22	0.9621128789
23	0.9494208329
24	0.9335103903
25	0.9172037785
26	0.9035433753
27	0.8889322176
28	0.8748477457
29	0.8630227179
30	0.8518629611
31	0.8405660566
32	0.8299338987
33	0.8212328665
34	0.8132953181
35	0.8035539318
36	0.7936693393
37	0.7840887029
38	0.775578978
39	0.7674496145
40	0.7616841747
41	0.7548689274
42	0.7484393018
43	0.7428036328
44	0.7367858705
45	0.7314102789
46	0.7255125203
47	0.7207924506
48	0.7142508402
49	0.70979086
50	0.7054293333
51	0.701269443
52	0.6959191088
53	0.6922556411
54	0.6890768037
55	0.6845103182
56	0.6797817653
57	0.6750926502
58	0.6725537171
59	0.6681209944
60	0.6652768545
61	0.660902111
62	0.656891928
63	0.6530557234
64	0.6499715695
65	0.6477482532
66	0.6453001642
67	0.6429978104
68	0.6408484361
69	0.6380734091
70	0.6344268322
71	0.6311985287
72	0.6292194146
73	0.626520934
74	0.6258817555
75	0.6227408253
76	0.6202553881
77	0.6171800226
78	0.61517189
79	0.6128686931
80	0.610533688
81	0.6090185872
82	0.6078325465
83	0.605084928
84	0.6024683787
85	0.6000088787
86	0.5986646546
87	0.597401255
88	0.5949151984
89	0.5928471755
90	0.591744921
91	0.5897232572
92	0.5878858406
93	0.586308791
94	0.5844097268
95	0.58252488
96	0.5810632367
97	0.579628072
98	0.5783278629
99	0.5765416466
100	0.5752411006
101	0.5742405878
102	0.5733262258
103	0.5722377603
104	0.5713563333
105	0.5700987364
106	0.5669144324
107	0.5660281394
108	0.5648847229
109	0.5638590052
110	0.5630196029
111	0.5611066406
112	0.5591040959
113	0.5571743415
114	0.5549240821
115	0.5530584773
116	0.5508679638
117	0.5495769085
118	0.5480242603
119	0.5455913934
120	0.5441129311
121	0.543086605
122	0.5425792091
123	0.5413005249
124	0.5387344714
125	0.5377537374
126	0.5353589502
127	0.5343262717
128	0.5335140072
129	0.5321685893
130	0.5312702842
131	0.5300921821
132	0.5283888261
133	0.5273652474
134	0.5266334838
135	0.5253633029
136	0.5233321207
137	0.522185322
138	0.52178335
139	0.5196996872
140	0.518452787
141	0.5176366224
142	0.5159289793
143	0.5148344884
144	0.513882276
145	0.5133283505
146	0.5126808767
147	0.5119855108
148	0.5100774698
149	0.5086613298
150	0.507260252
151	0.5065587531
152	0.5057434288
153	0.505075308
154	0.504066369
155	0.5035388677
156	0.5026188415
157	0.5021260041
158	0.5012398679
159	0.500178352
160	0.4988126113
161	0.4982555776
162	0.4974492688
163	0.4969964577
164	0.4965630932
165	0.4956690222
166	0.4942217989
167	0.4937249595
168	0.4910440341
169	0.490332057
170	0.4880145739
171	0.4875331098
172	0.4858883415
173	0.4854789766
174	0.4844336707
175	0.4834248017
176	0.4820006575
177	0.4813166289
178	0.4807091311
179	0.4800183831
180	0.4795872285
181	0.4791226582
182	0.4784208424
183	0.4763218284
184	0.4756016735
185	0.4732029562
186	0.4717180622
187	0.4710945045
188	0.4702837164
189	0.4695819952
190	0.4687545625
191	0.4665990781
192	0.4654590767
193	0.4650403586
194	0.4645174719
195	0.4624579676
196	0.4604490303
197	0.4596136732
198	0.4591876663
199	0.4581788655
200	0.4575677195
201	0.4570399171
202	0.4565006993
203	0.4554115573
204	0.4538833838
205	0.4533599322
206	0.4529313011
207	0.452478415
208	0.4518883293
209	0.4508763345
