iter	Passed	Remaining
0	6	6134
1	12	6075
2	17	5928
3	22	5630
4	29	5846
5	34	5733
6	39	5578
7	45	5693
8	55	6077
9	61	6089
10	68	6180
11	76	6273
12	80	6132
13	87	6158
14	93	6165
15	101	6239
16	110	6380
17	119	6495
18	126	6547
19	133	6544
20	140	6528
21	145	6463
22	151	6440
23	158	6445
24	163	6386
25	168	6316
26	175	6325
27	182	6325
28	188	6297
29	193	6255
30	200	6259
31	207	6272
32	213	6265
33	219	6233
34	224	6186
35	231	6186
36	237	6191
37	242	6127
38	248	6111
39	254	6115
40	260	6092
41	265	6048
42	270	6024
43	278	6047
44	283	6021
45	288	5983
46	295	5988
47	302	5995
48	307	5976
49	312	5942
50	319	5951
51	327	5961
52	335	5997
53	342	6007
54	348	5990
55	353	5956
56	359	5939
57	363	5900
58	368	5882
59	373	5846
60	377	5806
61	382	5782
62	388	5782
63	394	5774
64	400	5754
65	406	5752
66	413	5761
67	421	5771
68	429	5794
69	435	5779
70	443	5798
71	449	5799
72	456	5796
73	461	5775
74	470	5801
75	478	5813
76	485	5815
77	489	5786
78	498	5808
79	504	5805
80	510	5797
81	519	5810
82	528	5838
83	536	5850
84	543	5853
85	551	5858
86	557	5855
87	565	5860
88	569	5832
89	577	5835
90	583	5831
91	588	5809
92	594	5798
93	601	5796
94	607	5791
95	613	5774
96	618	5762
97	625	5754
98	704	6412
99	716	6444
100	726	6463
101	745	6567
102	757	6594
103	780	6725
104	789	6729
105	808	6821
106	815	6808
107	822	6794
108	829	6776
109	833	6740
110	862	6908
111	879	6974
112	889	6984
113	898	6984
114	905	6968
115	910	6940
116	915	6905
117	921	6887
118	926	6859
119	931	6833
120	937	6808
121	944	6795
122	951	6781
123	958	6770
124	966	6766
125	972	6743
126	978	6724
127	986	6722
128	994	6718
129	1001	6705
130	1008	6691
131	1014	6671
132	1019	6643
133	1025	6629
134	1034	6626
135	1041	6618
136	1055	6650
137	1060	6626
138	1067	6610
139	1074	6599
140	1080	6583
141	1088	6579
142	1095	6563
143	1100	6539
144	1106	6525
145	1114	6518
146	1121	6508
147	1129	6502
148	1137	6495
149	1142	6471
150	1147	6452
151	1153	6434
152	1160	6425
153	1167	6414
154	1171	6387
155	1178	6377
156	1185	6366
157	1191	6348
158	1198	6339
159	1206	6333
160	1212	6317
161	1218	6304
162	1225	6292
163	1232	6282
164	1237	6260
165	1242	6243
166	1249	6231
167	1256	6220
168	1260	6198
169	1265	6180
170	1273	6173
171	1279	6161
172	1285	6145
173	1293	6141
174	1299	6125
175	1310	6137
176	1319	6135
177	1327	6129
178	1334	6123
179	1345	6127
180	1353	6124
181	1361	6117
182	1368	6109
183	1374	6097
184	1382	6089
185	1391	6087
186	1399	6084
187	1411	6097
188	1420	6095
189	1426	6083
190	1435	6082
191	1443	6074
192	1454	6083
193	1460	6067
194	1470	6070
195	1477	6060
196	1483	6045
197	1491	6039
198	1496	6023
199	1503	6014
200	1512	6013
201	1518	5998
202	1526	5993
203	1533	5982
204	1537	5962
205	1543	5949
206	1550	5939
207	1558	5933
208	1565	5926
209	1575	5928
210	1586	5933
211	1595	5929
212	1600	5911
213	1606	5901
214	1614	5893
215	1619	5879
216	1624	5860
217	1632	5856
218	1639	5846
219	1646	5838
220	1653	5826
221	1658	5812
222	1663	5796
223	1670	5786
224	1676	5773
225	1682	5761
226	1687	5748
227	1696	5745
228	1707	5748
229	1713	5737
230	1720	5727
231	1728	5721
232	1737	5718
233	1742	5704
234	1748	5692
235	1754	5680
236	1760	5668
237	1767	5658
238	1773	5648
239	1777	5629
240	1784	5619
241	1789	5604
242	1794	5590
243	1800	5578
244	1805	5564
245	1812	5556
246	1817	5541
247	1822	5526
248	1828	5516
249	1833	5500
250	1839	5487
251	1845	5479
252	1850	5464
253	1855	5450
254	1863	5443
255	1870	5437
256	1879	5434
257	1888	5431
258	1894	5419
259	1901	5411
260	1907	5401
261	1913	5389
