movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross
tt0249516,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248,8456,"[16, 28, 35, 10751]",116977,en,Foodfight!,4.705,2013-05-07,Foodfight!,2.1,46,26,"Dec 31, 2012",Foodfight!,"$45,000,000",$0,"$73,706"
tt0326592,The Overnight,2010,88.0,Unkown,7.5,24,14596,"[9648, 35]",308024,en,The Overnight,6.576,2015-06-19,The Overnight,6.0,200,21,"Jun 19, 2015",The Overnight,"$200,000","$1,109,808","$1,165,996"
tt0337692,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886,5350,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,On the Road,5.6,518,17,"Mar 22, 2013",On the Road,"$25,000,000","$720,828","$9,313,302"
tt0359950,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300,7998,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,10.743,2013-12-25,The Secret Life of Walter Mitty,7.1,4859,37,"Dec 25, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183"
tt0365907,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116,11053,"[80, 18, 9648, 53]",169917,en,A Walk Among the Tombstones,19.373,2014-09-19,A Walk Among the Tombstones,6.3,1685,67,"Sep 19, 2014",A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587"
tt0369610,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,14193,"[28, 12, 878, 53]",135397,en,Jurassic World,20.709,2015-06-12,Jurassic World,6.6,14056,34,"Jun 12, 2015",Jurassic World,"$215,000,000","$652,270,625","$1,648,854,864"
tt0376136,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787,2568,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,The Rum Diary,5.7,652,16,"Oct 28, 2011",The Rum Diary,"$45,000,000","$13,109,815","$21,544,732"
tt0383010,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570,5331,[35],76489,en,The Three Stooges,9.358,2012-04-13,The Three Stooges,5.1,215,4,"Apr 13, 2012",The Three Stooges,"$30,000,000","$44,338,224","$54,052,249"
tt0393049,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106,2237,"[10749, 35, 18]",324352,en,Anderson's Cross,0.6,2010-05-20,Anderson's Cross,5.0,1,65,"Dec 31, 2010",Anderson's Cross,"$300,000",$0,$0
tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,15,"Nov 24, 2010",Tangled,"$260,000,000","$200,821,936","$586,477,240"
